                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                0.24814,                  0.655,                0.84565,                0.78296,                0.62285,                0.72849,                0.70252,                  0.206,                0.93428,                0.80337,             9.5514e-05,             9.5514e-05,             9.5514e-05
                     50,                 0.2439,                 0.6457,                0.84325,                0.75732,                0.66606,                 0.7347,                0.70676,                0.20303,                0.90313,                0.79933,             9.3712e-05,             9.3712e-05,             9.3712e-05
                     51,                0.24367,                0.63491,                0.84103,                0.78341,                0.62684,                0.72598,                0.70208,                0.20067,                0.90977,                0.79598,              9.191e-05,              9.191e-05,              9.191e-05
                     52,                0.24014,                0.62935,                 0.8407,                0.82769,                 0.6013,                 0.7279,                0.70381,                0.20104,                0.92022,                0.79721,             9.0108e-05,             9.0108e-05,             9.0108e-05
                     53,                0.23775,                0.63192,                0.84063,                0.78201,                  0.651,                0.73472,                0.70969,                0.19784,                0.87509,                0.79883,             8.8306e-05,             8.8306e-05,             8.8306e-05
                     54,                0.24061,                0.62301,                0.84357,                0.76081,                0.65115,                0.73567,                0.71293,                0.19635,                0.90749,                0.79717,             8.6505e-05,             8.6505e-05,             8.6505e-05
                     55,                0.23881,                0.62402,                 0.8422,                 0.7906,                0.64433,                 0.7378,                0.71448,                0.19655,                0.85207,                0.79773,             8.4703e-05,             8.4703e-05,             8.4703e-05
                     56,                0.23166,                0.59998,                0.83671,                0.79782,                0.63597,                0.73515,                 0.7108,                 0.1962,                0.90315,                0.79699,             8.2901e-05,             8.2901e-05,             8.2901e-05
                     57,                0.23498,                0.60097,                0.84078,                0.75353,                0.66787,                0.74242,                 0.7182,                0.19549,                0.89498,                 0.7956,             8.1099e-05,             8.1099e-05,             8.1099e-05
                     58,                0.23293,                0.59385,                0.83906,                0.79426,                0.61488,                0.73647,                0.71212,                0.19564,                 0.8896,                0.79748,             7.9297e-05,             7.9297e-05,             7.9297e-05
                     59,                0.23326,                0.60444,                 0.8395,                0.75066,                0.66219,                0.73208,                0.70983,                0.19163,                0.90752,                0.79782,             7.7496e-05,             7.7496e-05,             7.7496e-05
                     60,                0.23389,                0.59511,                0.84005,                0.78345,                0.64892,                0.74081,                0.71782,                0.18765,                0.88628,                0.79596,             7.5694e-05,             7.5694e-05,             7.5694e-05
                     61,                0.23229,                0.59328,                0.84015,                0.81621,                 0.6421,                 0.7451,                0.72147,                0.19012,                0.86742,                0.79549,             7.3892e-05,             7.3892e-05,             7.3892e-05
                     62,                0.22948,                0.58466,                0.83853,                0.78392,                0.65119,                0.74089,                0.71632,                0.19607,                0.86858,                0.79896,              7.209e-05,              7.209e-05,              7.209e-05
                     63,                0.22922,                0.58262,                0.83836,                0.76761,                0.66168,                0.74115,                0.71635,                0.19002,                0.85092,                0.79879,             7.0288e-05,             7.0288e-05,             7.0288e-05
                     64,                0.22759,                0.57358,                0.83704,                0.74846,                0.67986,                0.74258,                0.71814,                0.19653,                0.85625,                 0.8009,             6.8487e-05,             6.8487e-05,             6.8487e-05
                     65,                0.22773,                0.56976,                0.83645,                0.77457,                0.67527,                0.74734,                0.72285,                0.19384,                0.86282,                 0.7976,             6.6685e-05,             6.6685e-05,             6.6685e-05
                     66,                 0.2263,                0.56954,                0.83913,                0.80047,                0.64248,                0.74413,                0.72053,                0.19294,                0.86549,                0.79821,             6.4883e-05,             6.4883e-05,             6.4883e-05
                     67,                0.22589,                0.55893,                0.83566,                0.77507,                0.66595,                 0.7438,                0.71851,                0.19151,                0.85842,                0.79714,             6.3081e-05,             6.3081e-05,             6.3081e-05
                     68,                 0.2247,                 0.5654,                0.83765,                0.81459,                0.63934,                0.74086,                0.71894,                 0.1923,                0.85824,                0.79693,             6.1279e-05,             6.1279e-05,             6.1279e-05
                     69,                0.22785,                0.56039,                0.83669,                0.82024,                0.64861,                0.74799,                0.72491,                0.19223,                 0.8596,                0.79603,             5.9478e-05,             5.9478e-05,             5.9478e-05
